Date,Close,High,Low,Open,Volume
16-05-2022,143.2419434,145.1906903,141.9034169,143.2517951,86643800
17-05-2022,146.8834991,147.4051292,144.363909,146.5094946,78336300
18-05-2022,138.5964661,145.0331932,137.6909796,144.5312514,109742900
19-05-2022,135.1812286,139.4231707,134.4430713,137.6712784,136095600
20-05-2022,135.41745,138.4783436,130.5160884,136.8937649,137426100
23-05-2022,140.8503113,140.9979368,135.4765174,135.6143062,117726300
24-05-2022,138.1437073,139.7282859,135.1615524,138.5865987,104132700
25-05-2022,138.301178,139.5511137,136.1555926,136.2441679,92482700
26-05-2022,141.5097046,142.0608598,134.9745512,135.2206036,90601500
27-05-2022,147.2771912,147.316553,142.9663463,143.0942985,90978500
31-05-2022,146.4898376,148.2811074,144.5214173,146.7162168,103718400
01-06-2022,146.3618622,149.344017,145.3481122,147.5330594,74286600
02-06-2022,148.8223877,148.8814379,144.5410686,145.4957534,72348100
03-06-2022,143.0844421,145.6335422,142.1789708,144.5804304,88570300
06-06-2022,143.8324432,146.2240813,142.6120175,144.7083895,71598400
07-06-2022,146.3618622,146.6472764,141.8246539,142.0707064,67808200
08-06-2022,145.6237335,147.5035634,145.1316285,146.233939,53950200
09-06-2022,140.3877106,145.6138631,140.2794469,144.7576053,69473000
10-06-2022,134.9647369,138.5374094,134.895835,138.0649928,91437900
13-06-2022,129.7976074,133.0651765,129.3645527,130.7719656,122207100
14-06-2022,130.6636963,131.7758582,129.4039089,131.0278642,84784300
15-06-2022,133.2915802,135.1714253,130.0732237,132.1695812,91533000
16-06-2022,128.0063629,130.2995742,127.0024644,129.9944715,108123900
17-06-2022,129.4826965,130.9787003,127.7603286,128.0162329,134520300
21-06-2022,133.7245941,134.8958063,131.2148709,131.3132829,81000500
22-06-2022,133.2128448,135.5847798,131.7955799,132.6616746,73409200
23-06-2022,136.086731,136.4016704,133.488417,134.6596294,72433800
24-06-2022,139.4231873,139.6692397,137.563031,137.6909681,89116800
27-06-2022,139.4231873,141.2242933,138.74408,140.446759,70207900
28-06-2022,135.2698212,141.1553926,135.1517208,139.8857683,67083400
29-06-2022,137.0315552,138.44882,134.51198,135.2895143,66242400
30-06-2022,134.5611877,136.1851282,131.6577713,135.0828178,98964500
